area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,class
12726,17847,31302,249.4525221,90.22554661,742.6700936,127.2919732,0.251911975,0.713061019,0.932296765,Atopic Dermatitis
1825,3938,7650,136.4008433,30.42174276,398.7289681,48.20437915,0.286603619,0.463433215,0.974811141,Atopic Dermatitis
1636,3644,6258,138.753188,32.72666447,376.9360749,45.64011279,0.266994213,0.44895719,0.971786454,Atopic Dermatitis
24103,32573,43512,250.9313798,166.0386835,1647.750396,175.1824556,0.442290741,0.739968686,0.749777885,Atopic Dermatitis
4451,6163,6960,204.9797042,36.47800719,559.3208512,75.28073601,0.406273011,0.722213208,0.984037882,Atopic Dermatitis
12243,16112,21312,235.7875182,76.15003466,980.9137803,124.8530005,0.388626366,0.759868421,0.946412474,Atopic Dermatitis
27096,51435,65268,364.6951432,224.5011691,2281.006276,185.7409451,0.465843606,0.526800817,0.788069834,Atopic Dermatitis
17365,27719,37518,232.7360438,141.4924331,1947.456024,148.6936606,0.488017226,0.626465601,0.793973486,Atopic Dermatitis
4368,6652,11684,106.3496972,74.64694014,517.5340546,74.5755344,0.43048679,0.656644618,0.712274689,Atopic Dermatitis
1201,1424,2640,67.57126455,29.06943991,194.8050865,39.10448431,0.255311409,0.843398876,0.902731616,Atopic Dermatitis
7975,8883,13616,142.3373089,80.37865199,515.1259377,100.7674817,0.107296587,0.897782281,0.825292537,Atopic Dermatitis
5814,8025,12528,144.091983,78.03159544,417.2670273,86.03844904,0.39324198,0.724485981,0.840674881,Atopic Dermatitis
14944,18268,19992,352.400614,61.6256766,917.002092,137.9394496,0.265523484,0.818042479,0.984590835,Atopic Dermatitis
1135,1849,3306,83.58809905,32.10283548,350.1726189,38.01482452,0.302809351,0.613845322,0.923308186,Atopic Dermatitis
9679,13209,25974,199.6980443,83.08111808,637.8416665,111.0120964,0.300954756,0.732757968,0.909349192,Atopic Dermatitis
3134,3865,5004,139.7644033,32.39465141,426.155375,63.16908052,0.300298451,0.810866753,0.972768132,Atopic Dermatitis
1397,1582,1846,73.08389918,25.48585156,203.3969696,42.17482239,0.302261194,0.883059418,0.937226779,Atopic Dermatitis
1339,1588,2640,117.483015,18.35318956,272.6690476,41.2900442,0.280277272,0.843198992,0.987722294,Atopic Dermatitis
12398,27309,28416,305.0226169,111.7284194,1438.424494,125.6408527,0.326408434,0.453989527,0.93049857,Atopic Dermatitis
10102,15466,22815,191.8065248,97.48720602,848.1147904,113.4119301,0.381533119,0.653174706,0.86120484,Atopic Dermatitis
14537,18770,26040,191.8352459,119.3272065,1235.027525,136.0480917,0.442765668,0.774480554,0.782993706,Atopic Dermatitis
21720,31764,40404,255.442028,132.4871927,1412.761543,166.2972126,0.392794337,0.683792973,0.854981465,Atopic Dermatitis
11222,17051,18648,278.5906034,79.33198818,1435.110786,119.5336529,0.394009876,0.658143217,0.95859828,Atopic Dermatitis
10867,15762,27528,240.7329647,79.64056501,718.2264428,117.6277779,0.254601858,0.689442964,0.943692002,Atopic Dermatitis
1241,2307,3895,96.21440002,25.81479992,315.527958,39.75034937,0.377469168,0.537928045,0.96333403,Atopic Dermatitis
6478,13635,21312,270.3945978,62.82185049,1002.854906,90.81875231,0.403511135,0.475100843,0.972636071,Atopic Dermatitis
11515,24943,32412,311.8009227,114.7715558,1160.553391,121.0840756,0.407162591,0.461652568,0.929789208,Atopic Dermatitis
1627,2004,2583,66.63955861,36.12107446,246.882251,45.51440145,0.468348415,0.811876248,0.840354931,Atopic Dermatitis
7219,14305,16206,298.9100169,63.23337293,1185.784884,95.87239578,0.408037425,0.504648724,0.97736793,Atopic Dermatitis
8914,16501,17982,263.844579,66.04809208,1308.412301,106.5347704,0.391978514,0.540209684,0.96816069,Atopic Dermatitis
18910,37372,42630,406.0200859,117.6830757,1480.234631,155.1675217,0.363994285,0.505993792,0.957073463,Atopic Dermatitis
8419,20279,24642,320.2140551,94.76590758,1137.038672,103.5345533,0.474062727,0.415158538,0.955204828,Atopic Dermatitis
13380,28605,29970,302.0887533,116.1660256,1158.162518,130.5218185,0.500890776,0.467750393,0.923107204,Atopic Dermatitis
5651,7417,14018,160.2212912,63.30727971,554.4568901,84.82379777,0.153189917,0.761898342,0.918627788,Atopic Dermatitis
1096,1993,2704,113.3052999,18.67081081,287.5573952,37.35599739,0.348773939,0.549924737,0.98632981,Atopic Dermatitis
3166,7825,12546,124.907239,96.37054551,766.766594,63.49075837,0.377937676,0.404600639,0.636184558,Atopic Dermatitis
14706,34129,49728,297.5981237,180.8244581,2135.705807,136.8366206,0.358721252,0.430894547,0.79423332,Atopic Dermatitis
